,C1,C4,C5,C6,T2,T5,C3_impute,C7_impute,C3`,C5`,C6`,T1prime,T3prime,T4prime,S1prime,S2prime,S3prime,Y1,Y2
65,2087.0,0.01076544990065678,33785359.0,12500000.0,12533.0,650.0,0.46,311.502,0,2.70282872,0.7391304347826086,0.5328467153284672,0.8937205776749382,0.05186308146493258,0.006063991063592117,0.010133248224686827,0.010133248224686827,0,1
66,105.0,0.00549637470275211,25168917.0,5500000.0,10337.0,552.0,-2.09,92.478,0,4.576166727272727,0.0,0.6185567010309279,0.8914578697881397,0.053400406307439294,0.0031924155944664796,0.005417432523943117,0.005417432523943117,0,0
67,238.0,0.019731083271667373,41371982.0,13000000.0,15381.0,768.0,-4.16,75.436,0,3.182460153846154,0.16279069767441862,0.5841750841750841,0.8976009362200117,0.04993173395748001,0.0031207333723425007,0.009882322345751251,0.009882322345751251,0,1
68,83.0,-0.061579848740387674,57119068.0,10700000.0,10581.0,539.0,0.16,176.624,0,5.338230654205607,0.18181818181818182,0.6821705426356589,0.9006710140818448,0.050940364804838864,0.00302428881958227,0.00954541158680654,0.00954541158680654,0,1
69,111.0,0.03611721593918047,19250000.0,10000000.0,11002.0,555.0,0.18,311.709,0,1.925,0.0,0.5717344753747323,0.8945646246137066,0.0504453735684421,0.006998727504090165,0.008998363933830213,0.008998363933830213,1,0
70,77.0,0.010983105662161895,19551642.0,7482000.0,9137.0,365.0,0.46,213.672,0,2.613157177225341,0.17647058823529413,0.601123595505618,0.8959176972748166,0.039947466345627666,0.00536281055050892,0.005691145890335997,0.005691145890335997,0,1
71,177.0,0.051526532500396634,26375037.0,5000000.0,16546.0,943.0,-4.75,60.169,0,5.2750074,0.0,0.6365105008077544,0.9132720899311012,0.05699262661670494,0.0028405656956364076,0.007433820863048471,0.007433820863048471,0,0
72,96.0,0.018065909915302072,6988392.0,3200000.0,7231.0,270.0,-0.34,37.811,0,2.1838725,0.10714285714285714,0.6577181208053692,0.8882588853547227,0.03733923385423869,0.004148803761582077,0.006638086018531324,0.006638086018531324,0,1
73,214.0,0.03228429921272611,64145000.0,13500000.0,8894.0,469.0,0.63,143.062,0,4.751481481481481,0.0,0.6526946107784432,0.9062289183719361,0.05273217899707668,0.003710366539239937,0.012030582415111311,0.012030582415111311,1,0
74,215.0,-0.03834154622795221,23043862.0,4500000.0,11080.0,576.0,2.89,72.992,2,5.120858222222222,0.0,0.5156576200417536,0.8939530685920578,0.05198555956678701,0.00351985559566787,0.0101985559566787,0.0101985559566787,1,0
75,118.0,0.019835982850230017,26359127.0,13500000.0,9391.0,422.0,0.18,559.54,0,1.9525279259259258,0.0,0.5601023017902813,0.898093919710361,0.04493664146523267,0.006069641145777872,0.008518794590565435,0.008518794590565435,0,0
76,93.0,0.010500794785178772,62871119.0,10100000.0,16360.0,742.0,0.13,1070.938,0,6.224863267326732,0.1,0.7516059957173448,0.8451100244498777,0.04535452322738386,0.003728606356968215,0.004706601466992665,0.004706601466992665,0,1
77,79.0,0.0111853044880828,44596230.0,10000000.0,9017.0,458.0,-0.26,22.65,0,4.459623,0.0,0.528395061728395,0.9212598425196851,0.05079294665631585,0.0064322945547299545,0.011090163025396473,0.011090163025396473,1,0
78,371.0,-0.016128119258393494,14447138.0,1100000.0,11812.0,515.0,-0.7,107.462,0,13.133761818181819,0.0,0.6470588235294118,0.9094988147646461,0.04359972908906197,0.004232983406705046,0.0077886894683372844,0.0077886894683372844,1,0
79,93.0,0.003353816539135266,19410836.0,5000000.0,9399.0,616.0,-1.68,107.462,0,3.8821672,0.0,0.6112852664576802,0.916374082349186,0.0655388871156506,0.00744760080859666,0.007873177997659325,0.007873177997659325,0,0
80,188.0,0.0033405857511660856,32500000.0,5250000.0,6792.0,341.0,-0.03,107.462,0,6.190476190476191,0.0,0.668,0.9393404004711425,0.050206124852767965,0.005153121319199058,0.007361601884570083,0.007361601884570083,1,0
81,91.0,-0.05797847449374761,133048840.0,25000000.0,20037.0,1215.0,0.44,1.94,0,5.3219536,0.0625,0.7421487603305785,0.8841143883814943,0.06063782003293906,0.010879872236362729,0.01252682537305984,0.01252682537305984,0,1
82,660.0,-0.045701373246791265,5047473.0,2160000.0,6364.0,305.0,0.9,148.224,0,2.3367930555555554,0.03333333333333333,0.5035714285714286,0.8838780641106222,0.04792583280955374,0.004714016341923318,0.010370835952231301,0.010370835952231301,0,1
